,Country,State,City/Station,WMO,Source Data,Latitude (N+/S-),Longitude (E+/W-),Time Zone (GMT +/-),Elevation (m),URL
7165,ITA,LZ,Pratica.di.Mare.AB,162450,SRC-TMYx,41.6556,12.4481,1,21.5,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/LZ_Lazio/ITA_LZ_Pratica.di.Mare.AB.162450_TMYx.2007-2021.zip
7166,ITA,LZ,Pratica.di.Mare.AB,162450,SRC-TMYx,41.6556,12.4481,1,21.5,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/LZ_Lazio/ITA_LZ_Pratica.di.Mare.AB.162450_TMYx.2009-2023.zip
7167,ITA,LZ,Pratica.di.Mare.AB,162450,SRC-TMYx,41.6556,12.4481,1,21.5,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/LZ_Lazio/ITA_LZ_Pratica.di.Mare.AB.162450_TMYx.zip
7168,ITA,LZ,Cape.Circeo,162490,SRC-TMYx,41.2508,13.1186,1,4.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/LZ_Lazio/ITA_LZ_Cape.Circeo.162490_TMYx.2007-2021.zip
7169,ITA,LZ,Cape.Circeo,162490,SRC-TMYx,41.2508,13.1186,1,4.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/LZ_Lazio/ITA_LZ_Cape.Circeo.162490_TMYx.zip
7170,ITA,ML,Campobasso,162520,Custom-162520,41.5636,14.655,1,807.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/ML_Molise/ITA_ML_Campobasso.162520_TMYx.2004-2018.zip
7171,ITA,ML,Campobasso,162520,SRC-TMYx,41.5636,14.655,1,807.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/ML_Molise/ITA_ML_Campobasso.162520_TMYx.2007-2021.zip
7172,ITA,ML,Campobasso,162520,SRC-TMYx,41.5636,14.655,1,807.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/ML_Molise/ITA_ML_Campobasso.162520_TMYx.2009-2023.zip
7173,ITA,ML,Campobasso,162520,SRC-TMYx,41.5636,14.655,1,807.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/ML_Molise/ITA_ML_Campobasso.162520_TMYx.zip
7174,ITA,CM,Grazzanise.AB,162530,Custom-162530,41.0606,14.0789,1,10.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Grazzanise.AB.162530_TMYx.2004-2018.zip
